Momento,Eólico,Fotovoltaico,Bioenergías,Hidráulico,% Demanda Abastecida
2022-02-01 03:35:00,2546.16,0.0,140.54,179.86,18.84
2022-02-01 03:40:00,2551.83,0.0,141.41,180.65,18.84
2022-02-01 03:45:00,2550.53,0.0,139.17,179.71,18.9
2022-02-01 03:50:00,2546.55,0.0,140.35,179.8,18.82
2022-02-01 03:55:00,2557.81,0.0,140.97,179.79,18.92
2022-02-01 04:00:00,2575.73,0.0,142.47,180.12,19.11
2022-02-01 04:05:00,2558.63,0.0,140.98,179.72,19.01
2022-02-01 04:10:00,2568.32,0.0,142.82,179.29,19.14
2022-02-01 04:15:00,2558.42,0.0,140.82,178.93,19.03
2022-02-01 04:20:00,2552.96,0.0,140.41,179.34,19.13
2022-02-01 04:25:00,2567.6,0.0,140.03,180.28,19.04
2022-02-01 04:30:00,2591.29,0.0,140.69,180.53,19.08
2022-02-01 04:35:00,2592.77,0.0,142.28,179.67,19.04
2022-02-01 04:40:00,2600.21,0.0,142.19,180.08,19.22
2022-02-01 04:45:00,2616.02,0.0,141.85,180.19,19.36
2022-02-01 04:50:00,2624.42,0.0,141.43,179.09,19.48
2022-02-01 04:55:00,2595.15,0.0,141.13,180.04,19.38
2022-02-01 05:00:00,2571.66,0.0,139.61,180.78,19.19
2022-02-01 05:05:00,2553.95,0.0,138.87,180.61,19.03
2022-02-01 05:10:00,2532.9,0.0,139.84,180.53,18.98
2022-02-01 05:15:00,2520.96,0.0,140.03,180.06,18.96
2022-02-01 05:20:00,2515.0,0.0,139.52,179.82,18.88
2022-02-01 05:25:00,2495.17,0.0,139.0,180.4,18.56
2022-02-01 05:30:00,2487.44,0.0,140.32,180.45,18.54
2022-02-01 05:35:00,2444.34,0.0,140.0,180.16,18.28
2022-02-01 05:40:00,2430.69,0.0,139.59,180.5,18.23
2022-02-01 05:45:00,2455.92,0.0,138.67,180.39,18.38
2022-02-01 05:50:00,2466.98,0.0,139.82,180.19,18.46
2022-02-01 05:55:00,2497.58,0.0,140.86,180.22,18.75
2022-02-01 06:00:00,2494.69,0.0,140.79,179.63,18.73
2022-02-01 06:05:00,2481.07,0.0,140.73,179.47,18.65
2022-02-01 06:10:00,2469.44,0.0,139.21,179.88,18.63
2022-02-01 06:15:00,2468.41,0.0,139.11,179.42,18.66
2022-02-01 06:20:00,2497.36,0.0,138.62,179.86,18.89
2022-02-01 06:25:00,2494.8,0.0,139.06,179.36,18.88
2022-02-01 06:30:00,2489.08,0.0,138.13,179.83,18.85
2022-02-01 06:35:00,2491.39,0.0,136.5,180.18,18.91
2022-02-01 06:40:00,2463.26,0.0,133.73,180.11,18.63
2022-02-01 06:45:00,2450.22,0.0,132.27,180.47,18.55
2022-02-01 06:50:00,2462.83,0.0,135.21,180.13,18.77
2022-02-01 06:55:00,2477.34,0.0,138.96,179.92,18.81
2022-02-01 07:00:00,2458.88,0.0,139.37,180.36,18.71
2022-02-01 07:05:00,2452.84,0.0,139.26,180.51,18.6
2022-02-01 07:10:00,2445.93,4.63,138.42,179.87,18.49
2022-02-01 07:15:00,2442.16,11.68,138.39,180.4,18.46
2022-02-01 07:20:00,2407.46,21.19,138.81,180.4,18.22
2022-02-01 07:25:00,2393.29,33.22,138.7,180.93,18.0
2022-02-01 07:30:00,2367.36,49.05,137.53,180.54,18.04
2022-02-01 07:35:00,2354.06,73.92,137.08,179.79,18.03
2022-02-01 07:40:00,2373.94,97.71,136.38,179.77,18.22
2022-02-01 07:45:00,2388.81,127.21,136.42,178.86,18.49
2022-02-01 07:50:00,2431.33,154.43,135.52,178.12,18.79
2022-02-01 07:55:00,2445.64,185.86,130.58,179.81,18.99
2022-02-01 08:00:00,2465.42,212.82,127.35,179.05,19.12
2022-02-01 08:05:00,2447.65,241.17,127.74,179.99,19.07
2022-02-01 08:10:00,2488.82,277.29,128.6,179.94,19.42
2022-02-01 08:15:00,2489.59,307.97,125.36,179.61,19.53
2022-02-01 08:20:00,2501.84,338.18,126.19,180.23,19.62
2022-02-01 08:25:00,2482.33,364.28,126.41,178.75,19.83
2022-02-01 08:30:00,2478.79,402.05,126.0,179.4,20.04
2022-02-01 08:35:00,2497.82,435.05,126.08,179.19,20.22
2022-02-01 08:40:00,2493.53,467.69,127.15,179.71,20.32
2022-02-01 08:45:00,2478.11,484.9,126.1,179.08,20.22
2022-02-01 08:50:00,2484.76,513.04,127.55,179.33,20.39
2022-02-01 08:55:00,2486.86,549.78,127.35,179.2,20.55
2022-02-01 09:00:00,2470.78,570.82,127.76,179.92,20.5
2022-02-01 09:05:00,2470.78,570.82,127.76,179.92,20.5
2022-02-01 09:10:00,2470.78,570.82,127.76,179.92,20.5
2022-02-01 09:15:00,2525.43,662.93,128.55,179.05,20.98
2022-02-01 09:20:00,2492.49,689.4,128.41,178.7,20.8
2022-02-01 09:25:00,2483.7,733.19,129.08,179.33,20.85
2022-02-01 09:30:00,2529.65,773.91,128.99,179.46,21.17
2022-02-01 09:35:00,2513.64,799.64,129.09,178.99,21.2
2022-02-01 09:40:00,2488.46,813.94,129.24,179.78,21.0
2022-02-01 09:45:00,2492.66,809.93,128.93,179.1,21.12
2022-02-01 09:50:00,2458.5,809.14,129.98,178.87,21.04
2022-02-01 09:55:00,2447.15,800.1,129.29,178.92,20.84
2022-02-01 10:00:00,2436.99,787.28,129.72,179.36,20.65
2022-02-01 10:05:00,2424.01,796.29,129.18,185.78,20.63
2022-02-01 10:10:00,2430.85,800.12,129.14,186.32,20.62
2022-02-01 10:15:00,2425.35,766.1,127.43,186.31,20.29
2022-02-01 10:20:00,2441.42,835.0,126.75,186.19,20.73
2022-02-01 10:25:00,2405.08,817.51,126.8,186.36,20.26
2022-02-01 10:30:00,2392.9,809.6,127.28,185.77,19.95
2022-02-01 10:35:00,2402.53,835.95,116.85,186.4,19.96
2022-02-01 10:40:00,2380.15,821.78,118.94,188.13,19.7
2022-02-01 10:45:00,2322.69,766.38,126.61,188.42,18.99
2022-02-01 10:50:00,2342.21,773.35,128.16,187.41,19.1
2022-02-01 10:55:00,2303.93,741.08,127.1,186.87,18.77
2022-02-01 11:00:00,2371.41,789.05,126.93,186.61,19.42
2022-02-01 11:05:00,2400.01,820.12,128.06,186.52,19.69
2022-02-01 11:10:00,2362.62,849.77,127.87,185.95,19.5
2022-02-01 11:15:00,2327.13,860.79,127.43,187.19,19.18
2022-02-01 11:20:00,2281.69,827.42,126.29,186.38,18.62
2022-02-01 11:25:00,2270.08,814.2,127.57,186.02,18.48
2022-02-01 11:30:00,2241.62,820.48,128.07,187.05,18.34
2022-02-01 11:35:00,2255.32,826.36,127.49,187.2,18.41
2022-02-01 11:40:00,2204.67,813.32,125.91,186.73,17.86
2022-02-01 11:45:00,2198.79,822.04,128.09,186.92,17.84
2022-02-01 11:50:00,2167.51,794.86,128.09,186.75,17.49
2022-02-01 11:55:00,2179.22,841.29,126.78,186.08,17.71
2022-02-01 12:00:00,2186.56,832.83,126.68,186.74,17.69
2022-02-01 12:05:00,2154.49,831.75,132.11,186.59,17.49
2022-02-01 12:10:00,2137.26,866.91,133.45,186.99,17.47
2022-02-01 12:15:00,2105.75,885.74,132.96,186.42,17.26
2022-02-01 12:20:00,2083.91,887.23,131.67,185.67,17.04
2022-02-01 12:25:00,2084.68,882.83,133.01,186.48,16.92
2022-02-01 12:30:00,2067.34,896.95,134.7,186.07,16.73
2022-02-01 12:35:00,2074.68,877.21,133.3,186.53,16.65
2022-02-01 12:40:00,2052.63,871.88,133.62,186.34,16.49
2022-02-01 12:45:00,2029.9,872.92,131.46,186.35,16.36
2022-02-01 12:50:00,2069.09,837.94,130.75,186.5,16.28
2022-02-01 12:55:00,1970.07,786.69,131.61,185.51,15.35
2022-02-01 13:00:00,1972.91,770.06,131.47,185.74,15.18
2022-02-01 13:05:00,1955.76,832.87,132.19,192.35,15.36
2022-02-01 13:10:00,1967.85,901.65,132.28,192.11,15.67
2022-02-01 13:15:00,1992.86,892.01,132.36,192.53,15.83
2022-02-01 13:20:00,1947.52,913.37,131.97,192.15,15.54
2022-02-01 13:25:00,1919.75,863.67,132.83,192.87,15.1
2022-02-01 13:30:00,1940.9,866.71,132.19,191.95,15.13
2022-02-01 13:35:00,1921.14,859.21,133.07,192.89,14.96
2022-02-01 13:40:00,1905.41,854.65,133.9,192.4,14.96
2022-02-01 13:45:00,1920.44,862.47,134.09,192.32,14.99
2022-02-01 13:50:00,1858.76,815.0,134.84,192.23,14.33
2022-02-01 13:55:00,1823.17,864.49,134.41,192.57,14.41
2022-02-01 14:00:00,1763.38,895.87,133.87,193.99,14.18
2022-02-01 14:05:00,1791.06,898.72,134.87,194.39,14.29
2022-02-01 14:10:00,1820.28,870.14,134.55,194.04,14.18
2022-02-01 14:15:00,1760.57,862.79,133.76,193.88,13.87
2022-02-01 14:20:00,1716.79,867.15,133.27,193.65,13.61
2022-02-01 14:25:00,1727.34,825.21,127.29,194.16,13.86
2022-02-01 14:30:00,1714.01,828.75,127.6,194.08,13.64
2022-02-01 14:35:00,1706.27,794.84,132.81,193.54,13.42
2022-02-01 14:40:00,1725.31,847.17,134.33,193.46,13.69
2022-02-01 14:45:00,1721.43,802.57,134.2,194.14,13.37
2022-02-01 14:50:00,1682.21,798.32,132.62,193.47,13.13
2022-02-01 14:55:00,1639.58,773.08,134.42,193.96,12.73
2022-02-01 15:00:00,1661.84,793.81,133.82,194.07,12.89
2022-02-01 15:05:00,1725.19,794.02,132.97,193.62,13.08
2022-02-01 15:10:00,1652.77,860.84,131.48,194.04,12.98
2022-02-01 15:15:00,1612.68,844.21,129.65,193.54,12.81
2022-02-01 15:20:00,1648.24,789.68,130.94,193.85,12.73
2022-02-01 15:25:00,1716.73,676.69,131.93,193.78,12.48
2022-02-01 15:30:00,1745.64,668.95,129.32,196.81,12.55
2022-02-01 15:35:00,1699.31,593.65,130.61,197.62,11.98
2022-02-01 15:40:00,1722.7,561.18,130.11,197.82,11.94
2022-02-01 15:45:00,1732.65,575.65,132.03,197.23,12.06
2022-02-01 15:50:00,1687.93,571.71,132.31,197.33,11.79
2022-02-01 15:55:00,1758.14,628.28,131.94,196.97,12.41
2022-02-01 16:00:00,1710.45,678.96,132.3,197.67,12.42
2022-02-01 16:05:00,1704.67,585.72,135.58,197.92,11.92
2022-02-01 16:10:00,1721.43,537.1,134.87,196.79,11.85
2022-02-01 16:15:00,1733.9,534.89,135.98,197.34,11.89
2022-02-01 16:20:00,1777.46,545.59,135.88,197.11,12.15
2022-02-01 16:25:00,1791.9,457.55,135.81,197.82,11.77
2022-02-01 16:30:00,1765.88,449.15,135.41,197.23,11.6
2022-02-01 16:35:00,1761.57,436.72,134.84,196.95,11.58
2022-02-01 16:40:00,1697.08,406.27,135.23,197.03,11.13
2022-02-01 16:45:00,1664.12,403.83,134.75,197.46,10.99
2022-02-01 16:50:00,1637.69,397.47,132.84,196.36,10.93
2022-02-01 16:55:00,1574.99,387.08,132.37,197.05,10.6
2022-02-01 17:00:00,1562.74,428.35,133.18,197.97,10.77
2022-02-01 17:05:00,1548.04,485.86,133.98,198.62,10.96
2022-02-01 17:10:00,1555.11,512.58,133.93,197.62,11.1
2022-02-01 17:15:00,1508.95,520.81,132.96,197.76,10.96
2022-02-01 17:20:00,1467.27,530.59,133.32,198.38,10.81
2022-02-01 17:25:00,1459.95,529.98,132.18,197.57,10.83
2022-02-01 17:30:00,1503.85,501.34,131.14,197.44,10.93
2022-02-01 17:35:00,1528.51,507.29,133.99,198.22,11.08
2022-02-01 17:40:00,1556.48,497.05,136.14,197.47,11.2
2022-02-01 17:45:00,1615.9,505.13,135.17,197.87,11.62
2022-02-01 17:50:00,1703.93,477.39,135.32,197.57,11.94
2022-02-01 17:55:00,1736.98,480.49,135.87,197.66,12.15
2022-02-01 18:00:00,1714.24,471.53,135.48,197.58,12.07
2022-02-01 18:05:00,1786.21,460.15,135.66,197.88,12.42
2022-02-01 18:10:00,1771.63,434.98,135.12,197.32,12.3
2022-02-01 18:15:00,1757.69,360.08,134.7,198.11,11.95
2022-02-01 18:20:00,1783.77,346.3,135.21,197.43,11.99
2022-02-01 18:25:00,1807.64,318.14,135.08,197.42,11.99
2022-02-01 18:30:00,1795.07,284.46,136.87,197.79,11.92
2022-02-01 18:35:00,1796.29,279.88,136.45,197.68,11.88
2022-02-01 18:40:00,1786.04,256.5,137.0,198.05,11.77
2022-02-01 18:45:00,1801.55,204.02,136.73,197.43,11.6
2022-02-01 18:50:00,1803.46,119.68,136.64,197.53,11.18
2022-02-01 18:55:00,1816.0,104.03,136.21,197.58,11.21
2022-02-01 19:00:00,1803.2,92.79,131.26,197.25,11.1
2022-02-01 19:05:00,1779.18,101.07,131.23,197.55,11.15
2022-02-01 19:10:00,1772.49,87.44,133.75,197.55,11.15
2022-02-01 19:15:00,1749.14,87.55,136.85,197.5,11.05
2022-02-01 19:20:00,1732.43,75.16,136.4,196.97,10.89
2022-02-01 19:25:00,1724.0,61.7,130.33,198.13,10.78
2022-02-01 19:30:00,1699.53,54.13,130.85,197.48,10.65
2022-02-01 19:35:00,1697.28,42.25,136.5,197.33,10.61
2022-02-01 19:40:00,1696.72,40.83,136.14,196.83,10.6
2022-02-01 19:45:00,1654.57,45.32,136.12,197.6,10.42
2022-02-01 19:50:00,1667.46,47.46,136.5,197.23,10.52
2022-02-01 19:55:00,1654.75,35.82,137.18,197.79,10.42
2022-02-01 20:00:00,1676.61,23.42,136.71,190.81,10.39
2022-02-01 20:05:00,1687.59,15.12,135.3,179.2,10.26
2022-02-01 20:10:00,1717.48,6.88,133.76,179.36,10.25
2022-02-01 20:15:00,1768.31,2.12,133.21,179.53,10.32
2022-02-01 20:20:00,1758.78,0.0,133.07,179.67,10.12
2022-02-01 20:25:00,1770.0,0.0,132.95,179.85,10.06
2022-02-01 20:30:00,1772.11,0.0,133.1,179.8,10.03
2022-02-01 20:35:00,1762.36,0.0,132.42,179.92,9.89
2022-02-01 20:40:00,1785.7,0.0,132.66,179.3,9.94
2022-02-01 20:45:00,1800.19,0.0,133.02,178.75,9.95
2022-02-01 20:50:00,1789.47,0.0,134.39,178.93,9.88
2022-02-01 20:55:00,1787.83,0.0,134.39,179.82,9.83
2022-02-01 21:00:00,1777.61,0.0,134.03,179.71,9.76
2022-02-01 21:05:00,1732.64,0.0,134.87,179.81,9.55
2022-02-01 21:10:00,1710.55,0.0,134.35,178.59,9.4
2022-02-01 21:15:00,1725.52,0.0,133.89,178.93,9.51
2022-02-01 21:20:00,1755.72,0.0,134.63,179.08,9.63
2022-02-01 21:25:00,1734.33,0.0,133.61,179.43,9.51
2022-02-01 21:30:00,1749.89,0.0,134.9,180.16,9.58
2022-02-01 21:35:00,1757.51,0.0,134.66,179.09,9.65
2022-02-01 21:40:00,1780.89,0.0,135.42,178.59,9.81
2022-02-01 21:45:00,1772.86,0.0,136.05,178.98,9.8
2022-02-01 21:50:00,1779.48,0.0,135.13,178.76,9.86
2022-02-01 21:55:00,1785.46,0.0,136.04,178.12,9.92
2022-02-01 22:00:00,1768.44,0.0,136.65,178.15,9.9
2022-02-01 22:05:00,1760.44,0.0,136.87,178.56,9.93
2022-02-01 22:10:00,1746.71,0.0,137.31,179.2,9.9
2022-02-01 22:15:00,1738.47,0.0,137.32,165.96,9.81
2022-02-01 22:20:00,1757.92,0.0,137.1,165.78,9.92
2022-02-01 22:25:00,1794.21,0.0,126.92,165.17,10.1
2022-02-01 22:30:00,1797.73,0.0,127.1,165.51,10.14
2022-02-01 22:35:00,1809.67,0.0,126.51,165.93,10.16
2022-02-01 22:40:00,1847.25,0.0,126.67,165.59,10.38
2022-02-01 22:45:00,1813.17,0.0,126.12,165.48,10.19
2022-02-01 22:50:00,1783.56,0.0,125.79,165.78,10.07
2022-02-01 22:55:00,1743.97,0.0,125.98,166.04,9.9
2022-02-01 23:00:00,1724.69,0.0,128.79,166.09,9.81
2022-02-01 23:05:00,1716.6,0.0,131.13,154.06,9.71
2022-02-01 23:10:00,1713.06,0.0,133.72,154.51,9.76
2022-02-01 23:15:00,1713.44,0.0,134.94,154.55,9.81
2022-02-01 23:20:00,1674.38,0.0,136.68,154.61,9.68
2022-02-01 23:25:00,1654.21,0.0,137.93,153.96,9.61
2022-02-01 23:30:00,1630.65,0.0,137.85,154.34,9.53
2022-02-01 23:35:00,1587.07,0.0,137.9,154.54,9.35
2022-02-01 23:40:00,1550.37,0.0,137.69,154.14,9.24
2022-02-01 23:45:00,1565.47,0.0,138.18,155.12,9.35
2022-02-01 23:50:00,1571.16,0.0,138.08,154.6,9.41
2022-02-01 23:55:00,1531.91,0.0,137.02,154.28,9.22
2022-02-02 00:00:00,1489.36,0.0,137.72,153.83,9.01
2022-02-02 00:05:00,1473.01,0.0,138.04,154.74,9.02
2022-02-02 00:10:00,1474.89,0.0,137.13,154.4,9.01
2022-02-02 00:15:00,1465.37,0.0,137.52,154.8,9.09
2022-02-02 00:20:00,1459.8,0.0,136.98,154.53,9.08
2022-02-02 00:25:00,1469.7,0.0,138.09,153.66,9.11
2022-02-02 00:30:00,1442.26,0.0,137.45,154.06,9.04
2022-02-02 00:35:00,1433.69,0.0,137.57,153.87,9.01
2022-02-02 00:40:00,1445.28,0.0,137.3,154.4,9.09
2022-02-02 00:45:00,1424.69,0.0,136.46,154.46,9.01
2022-02-02 00:50:00,1477.62,0.0,136.67,154.83,9.34
2022-02-02 00:55:00,1476.0,0.0,136.96,153.89,9.43
2022-02-02 01:00:00,1472.28,0.0,132.48,154.34,9.45
2022-02-02 01:05:00,1466.69,0.0,131.59,153.92,9.48
2022-02-02 01:10:00,1461.72,0.0,133.11,154.37,9.5
2022-02-02 01:15:00,1478.21,0.0,133.91,154.66,9.62
2022-02-02 01:20:00,1470.1,0.0,132.79,154.45,9.54
2022-02-02 01:25:00,1502.27,0.0,132.42,153.66,9.78
2022-02-02 01:30:00,1524.66,0.0,133.12,153.79,10.0
2022-02-02 01:35:00,1553.02,0.0,132.4,153.49,10.2
2022-02-02 01:40:00,1575.52,0.0,134.44,153.8,10.38
2022-02-02 01:45:00,1609.33,0.0,133.86,153.85,10.68
2022-02-02 01:50:00,1647.68,0.0,135.4,153.18,10.94
2022-02-02 01:55:00,1673.07,0.0,136.48,153.86,11.11
2022-02-02 02:00:00,1692.74,0.0,136.21,154.2,11.33
2022-02-02 02:05:00,1699.12,0.0,135.94,153.74,11.4
2022-02-02 02:10:00,1727.96,0.0,135.99,154.1,11.62
2022-02-02 02:15:00,1769.59,0.0,136.47,154.64,11.8
2022-02-02 02:20:00,1819.57,0.0,135.83,154.88,12.13
2022-02-02 02:25:00,1867.86,0.0,135.89,154.86,12.43
2022-02-02 02:30:00,1900.01,0.0,135.6,154.54,12.65
2022-02-02 02:35:00,1963.27,0.0,134.37,154.49,13.02
2022-02-02 02:40:00,2000.88,0.0,134.45,154.11,13.35
2022-02-02 02:45:00,1989.15,0.0,135.18,153.71,13.36
2022-02-02 02:50:00,1883.78,0.0,135.75,154.94,12.7
2022-02-02 02:55:00,1869.73,0.0,137.19,154.23,12.72
2022-02-02 03:00:00,1870.48,0.0,136.73,153.84,12.73
2022-02-02 03:05:00,1889.04,0.0,137.57,154.37,12.9
2022-02-02 03:10:00,1911.67,0.0,137.08,154.76,13.08
2022-02-02 03:15:00,1907.18,0.0,137.28,154.41,13.1
2022-02-02 03:20:00,1915.87,0.0,126.04,154.25,13.07
2022-02-02 03:25:00,1958.54,0.0,125.2,153.53,13.47
2022-02-02 03:30:00,1988.43,0.0,125.98,154.34,13.65
2022-02-02 03:35:00,2012.52,0.0,125.21,154.4,13.79
2022-02-02 03:40:00,2013.63,0.0,126.91,154.5,13.72
2022-02-02 03:45:00,2043.81,0.0,127.71,154.44,13.91
2022-02-02 03:50:00,2037.04,0.0,129.59,153.81,14.01
2022-02-02 03:55:00,2005.92,0.0,133.94,153.93,13.85
2022-02-02 04:00:00,1974.7,0.0,134.11,154.38,13.74
2022-02-02 04:05:00,1938.45,0.0,134.02,154.13,13.52
2022-02-02 04:10:00,1923.01,0.0,135.0,153.97,13.48
2022-02-02 04:15:00,1735.52,0.0,134.01,153.99,12.47
2022-02-02 04:20:00,1908.85,0.0,134.75,153.93,13.39
2022-02-02 04:25:00,1882.17,0.0,134.86,155.02,13.21
2022-02-02 04:30:00,1827.65,0.0,133.55,153.9,12.9
2022-02-02 04:35:00,1784.96,0.0,126.56,154.38,12.66
2022-02-02 04:40:00,1717.16,0.0,127.64,154.47,12.3
2022-02-02 04:45:00,1678.98,0.0,126.6,153.73,12.07
2022-02-02 04:50:00,1676.74,0.0,127.02,154.47,12.0
2022-02-02 04:55:00,1718.17,0.0,126.49,154.06,12.38
2022-02-02 05:00:00,1703.86,0.0,127.55,154.68,12.32
2022-02-02 05:05:00,1735.9,0.0,126.49,154.69,12.44
2022-02-02 05:10:00,1693.88,0.0,128.73,154.76,12.21
2022-02-02 05:15:00,1682.61,0.0,131.51,154.73,12.16
2022-02-02 05:20:00,1682.31,0.0,131.73,155.09,12.17
2022-02-02 05:25:00,1709.76,0.0,133.98,154.1,12.39
2022-02-02 05:30:00,1732.27,0.0,134.04,154.22,12.53
2022-02-02 05:35:00,1753.49,0.0,132.31,154.89,12.68
2022-02-02 05:40:00,1761.1,0.0,133.26,154.38,12.84
2022-02-02 05:45:00,1768.37,0.0,134.04,154.27,12.82
2022-02-02 05:50:00,1774.21,0.0,133.77,154.62,12.96
2022-02-02 05:55:00,1800.23,0.0,135.55,153.64,12.99
2022-02-02 06:00:00,1791.06,0.0,135.29,154.15,12.97
2022-02-02 06:05:00,1789.37,0.0,134.82,154.52,12.94
2022-02-02 06:10:00,1750.21,0.0,133.59,154.2,12.68
2022-02-02 06:15:00,1746.39,0.0,133.91,154.09,12.73
2022-02-02 06:20:00,1725.12,0.0,134.12,154.29,12.66
2022-02-02 06:25:00,1718.84,0.0,133.37,153.98,12.72
2022-02-02 06:30:00,1743.49,0.0,134.45,154.3,12.91
2022-02-02 06:35:00,1711.15,0.0,135.28,154.51,12.78
2022-02-02 06:40:00,1706.89,0.0,135.06,154.31,12.72
2022-02-02 06:45:00,1719.8,0.0,134.91,153.63,12.98
2022-02-02 06:50:00,1729.21,0.0,135.57,153.62,13.05
2022-02-02 06:55:00,1756.66,0.0,134.1,154.23,13.17
2022-02-02 07:00:00,1798.2,0.0,133.89,154.16,13.41
2022-02-02 07:05:00,1826.58,0.0,134.38,153.94,13.5
2022-02-02 07:10:00,1857.54,1.05,133.81,155.14,13.62
2022-02-02 07:15:00,1922.28,6.22,134.82,154.96,14.0
2022-02-02 07:20:00,1975.42,12.67,133.44,155.41,14.34
2022-02-02 07:25:00,1969.54,23.87,133.59,154.9,14.34
2022-02-02 07:30:00,1967.77,39.83,133.03,153.0,14.34
2022-02-02 07:35:00,1998.23,54.47,133.76,153.1,14.57
2022-02-02 07:40:00,2008.39,87.14,134.07,153.3,14.75
2022-02-02 07:45:00,1969.86,118.27,134.11,153.44,14.75
2022-02-02 07:50:00,1974.67,159.25,133.17,152.88,14.76
2022-02-02 07:55:00,1960.44,194.21,132.81,153.62,14.77
2022-02-02 08:00:00,1876.85,228.69,134.9,153.83,14.39
2022-02-02 08:05:00,1761.0,258.65,132.35,153.42,13.78
2022-02-02 08:10:00,1696.82,336.37,132.58,153.29,13.71
2022-02-02 08:15:00,1658.94,374.2,131.39,153.4,13.63
2022-02-02 08:20:00,1637.86,425.19,132.49,152.92,13.72
2022-02-02 08:25:00,1661.75,475.27,131.45,153.39,14.13
2022-02-02 08:30:00,1633.72,539.44,128.61,153.19,14.24
2022-02-02 08:35:00,1615.17,598.55,129.5,153.11,14.34
2022-02-02 08:40:00,1598.66,641.31,129.75,152.11,14.44
2022-02-02 08:45:00,1585.21,677.23,128.82,152.47,14.41
2022-02-02 08:50:00,1542.57,709.5,129.48,152.34,14.38
2022-02-02 08:55:00,1515.72,736.51,129.41,152.62,14.33
2022-02-02 09:00:00,1508.37,756.68,129.43,153.52,14.35
2022-02-02 09:05:00,1503.28,768.96,129.06,153.17,14.21
2022-02-02 09:10:00,1482.36,781.37,129.1,153.12,13.99
2022-02-02 09:15:00,1465.18,790.25,129.8,153.22,13.89
2022-02-02 09:20:00,1471.99,805.07,127.4,153.42,13.89
2022-02-02 09:25:00,1492.52,798.33,129.5,153.33,13.87
2022-02-02 09:30:00,1475.44,834.37,130.58,153.52,13.92
2022-02-02 09:35:00,1464.57,842.19,129.19,151.87,13.74
2022-02-02 09:40:00,1424.35,849.2,130.76,152.53,13.51
2022-02-02 09:45:00,1434.12,843.53,131.2,151.85,13.5
2022-02-02 09:50:00,1464.08,858.25,130.17,152.42,13.66
2022-02-02 09:55:00,1544.49,841.69,129.45,152.2,13.95
2022-02-02 10:00:00,1527.55,859.9,132.21,152.21,13.91
2022-02-02 10:05:00,1520.06,857.32,132.95,158.7,13.85
